session,dir,entry_ts,entry,exit,pnl,mag_pct,stopped
2026-01-26,1,2026-01-26 10:05:00-05:00,25840.5,25844.5,2.75,0.0023399421325514106,False
2026-02-02,1,2026-02-02 10:00:00-05:00,25753.25,25856.25,101.75,0.0024077753526020613,False
2026-02-03,-1,2026-02-03 10:00:00-05:00,25632.0,25445.25,185.5,0.001744780119146311,False
2026-03-17,1,2026-03-17 10:00:00-04:00,24879.0,24796.75,-83.5,0.003630935571065478,False
2026-03-18,-1,2026-03-18 10:20:00-04:00,24689.0,24438.0,249.75,0.002124194576223182,False
2026-04-13,1,2026-04-13 09:55:00-04:00,25056.75,25324.25,266.25,0.003419760616756827,False
2026-04-17,1,2026-04-17 10:25:00-04:00,26525.5,26613.75,87.0,0.0019354960534763398,False
2026-06-05,-1,2026-06-05 10:25:00-04:00,29658.0,28802.5,854.25,0.0020286866349789167,False
2026-06-15,1,2026-06-15 10:05:00-04:00,30232.75,30366.25,132.25,0.0018504841962011136,False
2026-06-18,1,2026-06-18 10:50:00-04:00,30139.5,30186.0,45.25,0.004113037914731323,False
2026-06-19,1,2026-06-19 10:05:00-04:00,30171.5,30144.0,-28.75,0.0029944590066027406,False
2026-07-07,-1,2026-07-07 10:05:00-04:00,28936.25,28888.25,46.75,0.002372214152492114,False
2026-07-23,-1,2026-07-23 10:50:00-04:00,28123.25,28107.75,14.25,0.005033497571869129,False
2026-07-28,-1,2026-07-28 10:05:00-04:00,27207.25,27479.322500000002,-273.32250000000204,0.0026600590314469993,True
2026-07-30,1,2026-07-30 11:30:00-04:00,27503.25,27722.5,218.0,0.0037450104586267685,False
